dirname,relative_path,asset_type,family,phase_tag,anchor_tag,status
artifacts_v5_lite_p7b_20250901_v5_lite,data/artifacts_v5_lite_p7b_20250901_v5_lite,artifacts,v5_lite,p7b,20250901,current
artifacts_v5_lite_p7b_20251001_v5_lite,data/artifacts_v5_lite_p7b_20251001_v5_lite,artifacts,v5_lite,p7b,20251001,current
artifacts_v5_lite_p7b_20251101_v5_lite,data/artifacts_v5_lite_p7b_20251101_v5_lite,artifacts,v5_lite,p7b,20251101,current
artifacts_v5_lite_p7b_20251201_v5_lite,data/artifacts_v5_lite_p7b_20251201_v5_lite,artifacts,v5_lite,p7b,20251201,current
artifacts_v6_event_p7b_20250901_v6_event,data/artifacts_v6_event_p7b_20250901_v6_event,artifacts,v6_event,p7b,20250901,current
artifacts_v6_event_p7b_20251001_v6_event,data/artifacts_v6_event_p7b_20251001_v6_event,artifacts,v6_event,p7b,20251001,current
artifacts_v6_event_p7b_20251101_v6_event,data/artifacts_v6_event_p7b_20251101_v6_event,artifacts,v6_event,p7b,20251101,current
artifacts_v6_event_p7b_20251201_v6_event,data/artifacts_v6_event_p7b_20251201_v6_event,artifacts,v6_event,p7b,20251201,current
processed_v5_lite_p7b_20250901_v5_lite,data/processed_v5_lite_p7b_20250901_v5_lite,processed,v5_lite,p7b,20250901,current
processed_v5_lite_p7b_20251001_v5_lite,data/processed_v5_lite_p7b_20251001_v5_lite,processed,v5_lite,p7b,20251001,current
processed_v5_lite_p7b_20251101_v5_lite,data/processed_v5_lite_p7b_20251101_v5_lite,processed,v5_lite,p7b,20251101,current
processed_v5_lite_p7b_20251201_v5_lite,data/processed_v5_lite_p7b_20251201_v5_lite,processed,v5_lite,p7b,20251201,current
processed_v6_event_p7b_20250901_v6_event,data/processed_v6_event_p7b_20250901_v6_event,processed,v6_event,p7b,20250901,current
processed_v6_event_p7b_20251001_v6_event,data/processed_v6_event_p7b_20251001_v6_event,processed,v6_event,p7b,20251001,current
processed_v6_event_p7b_20251101_v6_event,data/processed_v6_event_p7b_20251101_v6_event,processed,v6_event,p7b,20251101,current
processed_v6_event_p7b_20251201_v6_event,data/processed_v6_event_p7b_20251201_v6_event,processed,v6_event,p7b,20251201,current
