"deleted_at","path","absolute_path","category","files","size_bytes","size_gb","action","reason"
"2026-06-16T18:02:22","data\processed_v5_lite_p8oot2026_20260301_v5_lite","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v5_lite_p8oot2026_20260301_v5_lite","p8oot2026","8","7989549120","7.441","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v5_lite_p8formal0614_20260301_v5_lite","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v5_lite_p8formal0614_20260301_v5_lite","p8formal0614","8","7887462420","7.346","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v5_lite_p8formal0614_20260215_v5_lite","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v5_lite_p8formal0614_20260215_v5_lite","p8formal0614","8","7527773580","7.011","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v5_lite_p8ei_20260224_v5_lite","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v5_lite_p8ei_20260224_v5_lite","old_event_inventory","8","7451074800","6.939","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v5_lite_p8oot2026_20260201_v5_lite","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v5_lite_p8oot2026_20260201_v5_lite","p8oot2026","8","7323753360","6.821","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v5_lite_p8robustpurge_20260301_v5_lite","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v5_lite_p8robustpurge_20260301_v5_lite","p8robustpurge","8","7299974940","6.799","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v5_lite_p8ei_20260215_v5_lite","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v5_lite_p8ei_20260215_v5_lite","old_event_inventory","8","7248477600","6.751","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v5_lite_p8robustpurge_20260201_v5_lite","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v5_lite_p8robustpurge_20260201_v5_lite","p8robustpurge","8","6634179180","6.179","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v5_lite_p8oot2026_20260101_v5_lite","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v5_lite_p8oot2026_20260101_v5_lite","p8oot2026","8","6586622340","6.134","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v5_lite_p8robustpurge_20260101_v5_lite","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v5_lite_p8robustpurge_20260101_v5_lite","p8robustpurge","8","5897048160","5.492","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v5_lite_p7refresh_20260416_20251201_v5_lite","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v5_lite_p7refresh_20260416_20251201_v5_lite","p7refresh_validation","8","5849491320","5.448","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v5_lite_p7refresh_20260416_20251101_v5_lite","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v5_lite_p7refresh_20260416_20251101_v5_lite","p7refresh_validation","8","5136138720","4.783","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v5_lite_p7refresh_20260416_20251001_v5_lite","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v5_lite_p7refresh_20260416_20251001_v5_lite","p7refresh_validation","8","4399007700","4.097","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v5_lite_p7refresh_20260416_20250901_v5_lite","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v5_lite_p7refresh_20260416_20250901_v5_lite","p7refresh_validation","8","3685655100","3.433","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v6_event_p8formal0614_inventory_rich_request_20260514_v6_event","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v6_event_p8formal0614_inventory_rich_request_20260514_v6_event","p8formal0614","6","3492176664","3.252","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v6_event_p8formal0614_inventory_rich_request_20260501_v6_event","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v6_event_p8formal0614_inventory_rich_request_20260501_v6_event","p8formal0614","6","3373021056","3.141","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v6_event_p8formal0614_inventory_rich_request_20260415_v6_event","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v6_event_p8formal0614_inventory_rich_request_20260415_v6_event","p8formal0614","6","3226368000","3.005","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v6_event_p8formal0614_inventory_rich_request_20260401_v6_event","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v6_event_p8formal0614_inventory_rich_request_20260401_v6_event","p8formal0614","6","3098046576","2.885","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v6_event_p8formal0614_inventory_rich_request_20260315_v6_event","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v6_event_p8formal0614_inventory_rich_request_20260315_v6_event","p8formal0614","6","2942227704","2.74","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v6_event_p8formal0614_inventory_rich_request_20260301_v6_event","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v6_event_p8formal0614_inventory_rich_request_20260301_v6_event","p8formal0614","6","2813906280","2.621","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v6_event_p8formal0614_inventory_request_20260215_v6_event","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v6_event_p8formal0614_inventory_request_20260215_v6_event","p8formal0614","6","2685584856","2.501","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v6_event_p8formal0614_inventory_rich_request_20260215_v6_event","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v6_event_p8formal0614_inventory_rich_request_20260215_v6_event","p8formal0614","6","2685584856","2.501","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v6_event_p8formal0614_inventory_rich_20260301_v6_event","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v6_event_p8formal0614_inventory_rich_20260301_v6_event","p8formal0614","6","2671789840","2.488","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v6_event_p8formal0614_inventory_rich_request_20260201_v6_event","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v6_event_p8formal0614_inventory_rich_request_20260201_v6_event","p8formal0614","6","2557263432","2.382","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v6_event_p8formal0614_inventory_rich_20260215_v6_event","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v6_event_p8formal0614_inventory_rich_20260215_v6_event","p8formal0614","6","2549949296","2.375","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v6_event_p8formal0614_inventory_20260215_v6_event","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v6_event_p8formal0614_inventory_20260215_v6_event","p8formal0614","6","2549949296","2.375","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v6_event_p8formal0614_inventory_rich_request_20260115_v6_event","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v6_event_p8formal0614_inventory_rich_request_20260115_v6_event","p8formal0614","6","2401444560","2.237","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v6_event_p8formal0614_inventory_request_20260301_v6_event","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v6_event_p8formal0614_inventory_request_20260301_v6_event","p8formal0614","6","2316498740","2.157","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
"2026-06-16T18:02:22","data\processed_v6_event_p8formal0614_inventory_rich_request_20260101_v6_event","E:\LSTM\B2B\B2B_Replenishment_System\data\processed_v6_event_p8formal0614_inventory_rich_request_20260101_v6_event","p8formal0614","6","2273123136","2.117","delete_feature_cache","old generated feature cache; current p7b and p8eventreqshadow assets retained"
