"Name","SizeGB","SizeMB"
"processed_v5_lite_p8oot2026_20260301_v5_lite","7.441","7619.43"
"processed_v5_lite_p8formal0614_20260301_v5_lite","7.346","7522.07"
"processed_v5_lite_p8formal0614_20260215_v5_lite","7.011","7179.04"
"processed_v5_lite_p8ei_20260224_v5_lite","6.939","7105.9"
"processed_v5_lite_p8oot2026_20260201_v5_lite","6.821","6984.48"
"processed_v5_lite_p8robustpurge_20260301_v5_lite","6.799","6961.8"
"processed_v5_lite_p8ei_20260215_v5_lite","6.751","6912.69"
"processed_v5_lite_p8robustpurge_20260201_v5_lite","6.179","6326.85"
"processed_v5_lite_p8oot2026_20260101_v5_lite","6.134","6281.49"
"processed_v5_lite_p8robustpurge_20260101_v5_lite","5.492","5623.86"
"processed_v5_lite_p7refresh_20260416_20251201_v5_lite","5.448","5578.51"
"processed_v5_lite_p7b_20251201_v5_lite","5.157","5281.12"
"processed_v5_lite_p7refresh_20260416_20251101_v5_lite","4.783","4898.2"
"processed_v5_lite_p7b_20251101_v5_lite","4.528","4637.08"
"processed_v5_lite_p7refresh_20260416_20251001_v5_lite","4.097","4195.22"
"processed_v5_lite_p7b_20251001_v5_lite","3.878","3971.57"
"processed_v5_lite_p7refresh_20260416_20250901_v5_lite","3.433","3514.91"
"processed_v6_event_p8formal0614_inventory_rich_request_20260514_v6_event","3.252","3330.4"
"processed_v5_lite_p7b_20250901_v5_lite","3.25","3327.54"
"processed_v6_event_p8formal0614_inventory_rich_request_20260501_v6_event","3.141","3216.76"
"processed_v6_event_p8formal0614_inventory_rich_request_20260415_v6_event","3.005","3076.9"
"processed_v6_event_p8formal0614_inventory_rich_request_20260401_v6_event","2.885","2954.53"
"processed_v6_event_p8formal0614_inventory_rich_request_20260315_v6_event","2.74","2805.93"
"processed_v6_event_p8formal0614_inventory_rich_request_20260301_v6_event","2.621","2683.55"
"processed_v6_event_p8formal0614_inventory_rich_request_20260215_v6_event","2.501","2561.17"
"processed_v6_event_p8formal0614_inventory_request_20260215_v6_event","2.501","2561.17"
"processed_v6_event_p8formal0614_inventory_rich_20260301_v6_event","2.488","2548.02"
"processed_v6_event_p8formal0614_inventory_rich_request_20260201_v6_event","2.382","2438.8"
"processed_v6_event_p8formal0614_inventory_rich_20260215_v6_event","2.375","2431.82"
"processed_v6_event_p8formal0614_inventory_20260215_v6_event","2.375","2431.82"
"processed_v6_event_p8formal0614_inventory_rich_request_20260115_v6_event","2.237","2290.2"
"processed_v6_event_p8listing_targeted_20260224_v6_event","2.163","2214.99"
"processed_v6_event_p8formal0614_inventory_request_20260301_v6_event","2.157","2209.19"
"processed_v6_event_p8formal0614_inventory_rich_request_20260101_v6_event","2.117","2167.82"
"processed_v6_event_p8listing_targeted_20260215_v6_event","2.104","2154.77"
