path,files,size_mb,category,recommendation
data,1881,253805.26,data_assets,Use data/DATA_INDEX.md and manifests; do not bulk commit generated data.
reports,1935,1484.36,reports_and_experiments,Commit curated current docs; leave generated exports ignored.
models_phase8_robust_oot,270,880.69,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
models_phase8_formal_stage2_20260614,270,880.46,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
data_warehouse,763,546.71,raw_snapshot_warehouse,Keep local snapshots with manifests; do not commit CSV extracts.
.vendor_tree_backends,263,475.04,tooling_or_cache,Usually local; commit only config files.
models_phase8_formal_stage1_20260614,60,195.89,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
models_phase8_formal_stage1b_20260614,60,195.85,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
models_phase8_event_core_robust_oot,54,176.04,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
models_phase8_2026_out_of_time,54,136.19,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
models_phase8_zero_split_asym_train_2026,36,119.91,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
models_phase8_lifecycle_peer_priors,30,98.03,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
models,26,93.59,historical_model_artifact,Keep tracked references only; generated binaries stay ignored.
models_phase8_listing_zero_split_shadow_2026,28,78.74,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
models_phase8_event_inventory_shadow_2026,24,78.59,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
models_phase8_event_request_shadow,24,78.37,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
models_phase8_purchase_request_shadow,24,78.33,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
models_phase8_listing_date_targeted,24,78.28,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
models_phase8_listing_date_stage_ablation,24,78.27,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
models_phase8_peer_prior_46_90,24,78.27,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
models_phase8_lifecycle_shadow,24,78.23,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
models_phase7_refresh_validation_20260416,24,78.14,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
models_phase8_event_shadow,18,58.72,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
models_phase8_inventory_zero_split_shadow_2026,12,39.34,generated_model_artifact,Keep local or archive by manifest; do not commit binaries.
src,208,3.22,source_or_test_code,Review normally; code changes should be committed intentionally.
.git,626,3.11,tooling_or_cache,Usually local; commit only config files.
scripts,146,1.42,source_or_test_code,Review normally; code changes should be committed intentionally.
modules,69,0.62,active_profit_analysis_module,Review and commit as a separate module-focused change.
__pycache__,9,0.08,other,Review manually.
tests,23,0.08,source_or_test_code,Review normally; code changes should be committed intentionally.
diagnostics,5,0.02,other,Review manually.
docs,3,0.02,source_or_test_code,Review normally; code changes should be committed intentionally.
.pytest_cache,6,0.0,tooling_or_cache,Usually local; commit only config files.
config,2,0.0,source_or_test_code,Review normally; code changes should be committed intentionally.
utils,5,0.0,source_or_test_code,Review normally; code changes should be committed intentionally.
