anchor_date,candidate_key,stage,exp_id,start_time,end_time,elapsed_min,status,note
2025-10-01,event_request_plus,build_event_request_assets,p8eventreqshadow_20251001_v6_event,2026-06-16 10:25:33,2026-06-16 10:25:37,0.06,failed,
2025-10-01,event_request_plus,build_event_request_assets,p8eventreqshadow_20251001_v6_event,2026-06-16 10:26:36,2026-06-16 10:27:38,1.04,success,
2025-10-01,event_request_plus,train,p8eventreq_20251001_event_request_plus_s2028,2026-06-16 10:27:38,2026-06-16 10:28:48,1.16,success,
2025-10-01,event_request_plus,eval,p8eventreq_20251001_event_request_plus_s2028_hard_g027,2026-06-16 10:28:48,2026-06-16 10:28:55,0.12,success,
2025-11-01,event_request_plus,build_event_request_assets,p8eventreqshadow_20251101_v6_event,2026-06-16 10:28:55,2026-06-16 10:29:54,0.98,success,
2025-11-01,event_request_plus,train,p8eventreq_20251101_event_request_plus_s2028,2026-06-16 10:29:54,2026-06-16 10:31:07,1.23,success,
2025-11-01,event_request_plus,eval,p8eventreq_20251101_event_request_plus_s2028_hard_g027,2026-06-16 10:31:07,2026-06-16 10:31:14,0.12,success,
2025-12-01,event_request_plus,build_event_request_assets,p8eventreqshadow_20251201_v6_event,2026-06-16 10:31:14,2026-06-16 10:32:18,1.06,success,
2025-12-01,event_request_plus,train,p8eventreq_20251201_event_request_plus_s2028,2026-06-16 10:32:18,2026-06-16 10:33:44,1.44,success,
2025-12-01,event_request_plus,eval,p8eventreq_20251201_event_request_plus_s2028_hard_g027,2026-06-16 10:33:44,2026-06-16 10:33:52,0.13,success,
2025-09-01,event_intent_plus,build_event_shadow_assets,p8shadow_20250901_v6_event,2026-06-16 10:36:30,2026-06-16 10:37:01,0.52,success,
2025-09-01,event_request_plus,build_event_request_assets,p8eventreqshadow_20250901_v6_event,2026-06-16 10:37:01,2026-06-16 10:37:51,0.83,success,
2025-09-01,event_request_plus,train,p8eventreq_20250901_event_request_plus_s2028,2026-06-16 10:37:51,2026-06-16 10:38:48,0.95,success,
2025-09-01,event_request_plus,eval,p8eventreq_20250901_event_request_plus_s2028_hard_g027,2026-06-16 10:38:48,2026-06-16 10:38:55,0.13,success,
